DELIVERY_DATE,DELIVERY_HOUR,INTERVAL,ENGY
2015/1/3,14,1,14.29
2015/1/3,14,2,14.39
2015/1/3,14,3,14.4
2015/1/3,14,4,14.35
2015/1/3,14,5,14.38
2015/1/3,14,6,14.35
2015/1/3,14,7,14.34
2015/1/3,14,8,14.34
2015/1/3,14,9,14.34
2015/1/3,14,10,14.41
2015/1/3,14,11,14.35
2015/1/3,14,12,14.32
2015/1/3,15,1,15.52
2015/1/3,15,2,14.33
2015/1/3,15,3,14.33
2015/1/3,15,4,14.32
2015/1/3,15,5,14.3
2015/1/3,15,6,14.3
2015/1/3,15,7,14.29
2015/1/3,15,8,14.3
2015/1/3,15,9,14.3
2015/1/3,15,10,14.3
2015/1/3,15,11,14.3
2015/1/3,15,12,14.3
2015/1/3,16,1,14.21
2015/1/3,16,2,14.22
2015/1/3,16,3,14.23
2015/1/3,16,4,14.23
2015/1/3,16,5,14.3
2015/1/3,16,6,14.32
2015/1/3,16,7,14.32
2015/1/3,16,8,14.32
2015/1/3,16,9,14.33
2015/1/3,16,10,14.33
2015/1/3,16,11,14.45
2015/1/3,16,12,26.71
2015/1/3,17,1,20.93
2015/1/3,17,2,20.93
2015/1/3,17,3,21.86
2015/1/3,17,4,24.46
2015/1/3,17,5,26.5
2015/1/3,17,6,27.06
2015/1/3,17,7,28.84
2015/1/3,17,8,28.84
2015/1/3,17,9,30.01
2015/1/3,17,10,30.01
2015/1/3,17,11,30.24
2015/1/3,17,12,30.84
2015/1/3,18,1,31.7
2015/1/3,18,2,31.11
2015/1/3,18,3,34.03
2015/1/3,18,4,38.87
2015/1/3,18,5,54.12
2015/1/3,18,6,52.13
2015/1/3,18,7,52.13
2015/1/3,18,8,54.12
2015/1/3,18,9,54.12
2015/1/3,18,10,54.12
2015/1/3,18,11,54.12
2015/1/3,18,12,54.12
2015/1/3,19,1,139.93
2015/1/3,19,2,139.93
2015/1/3,19,3,115.03
2015/1/3,19,4,115.03
2015/1/3,19,5,125.01
2015/1/3,19,6,102.72
2015/1/3,19,7,129.52
2015/1/3,19,8,96.38
2015/1/3,19,9,62.37
2015/1/3,19,10,62.36
2015/1/3,19,11,62.36
2015/1/3,19,12,58.89
2015/1/3,20,1,19.42
2015/1/3,20,2,25.91
2015/1/3,20,3,27.67
2015/1/3,20,4,23.56
2015/1/3,20,5,25.91
2015/1/3,20,6,25.91
2015/1/3,20,7,25.91
2015/1/3,20,8,23.69
2015/1/3,20,9,23.56
2015/1/3,20,10,23.56
2015/1/3,20,11,23
2015/1/3,20,12,23.2
2015/1/3,21,1,30
2015/1/3,21,2,27.67
2015/1/3,21,3,27.67
2015/1/3,21,4,27.67
2015/1/3,21,5,27.67
2015/1/3,21,6,27.67
2015/1/3,21,7,27.67
2015/1/3,21,8,27.67
2015/1/3,21,9,27.66
2015/1/3,21,10,27.65
2015/1/3,21,11,27.66
2015/1/3,21,12,27.64
2015/1/3,22,1,30
2015/1/3,22,2,27.67
2015/1/3,22,3,23.66
2015/1/3,22,4,23.66
2015/1/3,22,5,23.66
2015/1/3,22,6,22.65
2015/1/3,22,7,22.64
2015/1/3,22,8,19.73
2015/1/3,22,9,22.64
2015/1/3,22,10,22.64
2015/1/3,22,11,18.45
2015/1/3,22,12,14.35
2015/1/3,23,1,59
2015/1/3,23,2,56.27
2015/1/3,23,3,14.65
2015/1/3,23,4,56.26
2015/1/3,23,5,26.78
2015/1/3,23,6,14.59
2015/1/3,23,7,14.59
2015/1/3,23,8,14.41
2015/1/3,23,9,14.33
2015/1/3,23,10,14.33
2015/1/3,23,11,14.31
2015/1/3,23,12,14.22
2015/1/3,24,1,19.58
2015/1/3,24,2,14.35
2015/1/3,24,3,14.34
2015/1/3,24,4,14.34
2015/1/3,24,5,14.33
2015/1/3,24,6,14.31
2015/1/3,24,7,14.29
2015/1/3,24,8,14.23
2015/1/3,24,9,14.23
2015/1/3,24,10,14.21
2015/1/3,24,11,14.2
2015/1/3,24,12,14.19
2015/1/4,1,1,20.41
2015/1/4,1,2,20.4
2015/1/4,1,3,17.39
2015/1/4,1,4,16.7
2015/1/4,1,5,14.35
2015/1/4,1,6,14.35
2015/1/4,1,7,14.32
2015/1/4,1,8,14.33
2015/1/4,1,9,14.3
2015/1/4,1,10,14.3
2015/1/4,1,11,14.23
2015/1/4,1,12,14.23
2015/1/4,2,1,14.41
2015/1/4,2,2,14.34
2015/1/4,2,3,14.33
2015/1/4,2,4,14.32
2015/1/4,2,5,14.31
2015/1/4,2,6,14.3
2015/1/4,2,7,14.29
2015/1/4,2,8,14.29
2015/1/4,2,9,14.3
2015/1/4,2,10,14.23
